,source,target,edge
1992,Reactants  Leftovers,other  interactive,click
1993,then Limiting that,then Limiting activity,Follow
1994,separate  Reactants,resistant jet engines,is
1995,2.00  g,1.50  N2,prepared according
1996,limiting  that,limiting  Si3N4,calculate
1997,,limiting  reactant,Compute
1998,so  it,less  amount,shows
1999,,provided  reactants,compute
2000,lesser silicon it,lesser silicon product,is
2001,limiting  we,product,determine
2002,amount,limiting  reactant,determined by
2003,0.02373 mol Si3N4,limiting  reactant,calculated
2004,,g  Si3N4,Convert mol
2005,2.5 g piece,M nitric acid solution,added to
2006,below  that,below  reaction,describes
2007,Which,,is
2008,,4.0 Creative Commons License,Adapted from
2009,,,Download for free
2010,Concentrations,particular measurement applications,assessed
2011,Molarity,many concentration chemistry,is
2012,Molarity,1  solution,defined as
2013,soft drink sample,mol table sugar,contains
2014,molar concentration,beverage,is
2015,molarity,molarity,calculated
2016,much  sugar,10  example,contained in
2017,we,sugar,rearrange
2018,white M. vinegar,acetic  water,is
2019,0.500L vinegar solution,acetic  acid,contains
2020,concentration,acetic acid molarity,is
2021,you,solute,need mol
2022,,acetic  mol,Convert
2023,,molarity,Substitute
2024,many  grams,5.30 M solution,contained in
2025,volume,solution,specified
2026,We,mole,rearrange
2027,intermediate calculation which,final  result,is important
2028,it,intermediate guard calculation,retained as
2029,intermediate guard we,single  step,avoid
2030,final  result,intermediate  steps,eliminates
2031,many  you,solution,concerned with
2032,sometimes  it,individual  solution,be useful
2033,they,constituent ions,Remember
2034,it,one formula unit,produces
2035,two Cl ions,formula unit,produces
2036,when Cl CaCl2,water,means
2037,Likewise  concentration,twice Cl solution,be
2038,Animations,University PhET Interactive Colorado,developed from
2039,solution,right  Cl,has
2040,4.85 CaCl2 g,850  solution,is
2041,concentration,+ Cl solution,is
2042,same CaCl2 we,CaCl2 solution,is
2043,concentration,0.103 Creative Commons Attribution,is
2044,,,Download for free
2045,various  that,substances,applied
2046,mass  we,sample,determine
2047,we,substances,derive
2048,4.7  What,average  moles,is
2049,corresponding  amount,moles,provided
2050,molar  mass,K,is
2051,We,dimensional conversion analysis,use
2052,dimensional  we,molar answer,see
2053,Vitamin C,molecular formula C6H8O6,is
2054,dietary  allowance,vitamin children,is
2055,mass,grams,is
2056,corresponding  amount,grams,provided
2057,First  we,molar compound C6H8O6,want
2058,We,dimensional conversion analysis,use
2059,dimensional  we,molar answer,see
2060,amount,moles,find
2061,following  we,formula number,look at
2062,Copper,electrical  wire,used
2063,many copper atoms,0.0753 copper wire,are in
2064,corresponding  amount,Cu,provided
2065,We,dimensional conversion analysis,know
2066,when  you,number,see from
2067,sample,8.4×1022  water,contains
2068,many  moles,,is
2069,we,dimensional  analysis,set
2070,when  you,number,see from
2071,,4.0 Creative Commons License,Adapted from
2072,,,Download for free
2073,goal,electrons inatoms,is
2074,,best  topics,use of quantum
2075,knowledge,,is
2076,previously  electrons,discrete  them,exist
2077,specific  andcan,smoothly energy levels,said
2078,energy levels,n value,labeled with
2079,quantum numberquantum quantum number,electron atom,referred to
2080,principlequantum number,energy level,defines
2081,It,thesame Bohr atom description,is
2082,name,theprincipal quantum number,is
2083,shellsset,concentric quantum nucleus,bethought of concentric
2084,electrons,correspondingcircular  area,are
2085,further  we,nucleus,proceed from
2086,charged  protons,negative inthe theelectrons,stabilize
2087,theenergy  it,nucleus,is from
2088,principal quantum number,three  orbital,is
2089,general  electron,general  which,used
2090,probability,dimensional Schrdinger equation,specifies
2091,principlequantum number,electron energy atoms,defines
2092,values,n,be positive
2093,different momentum quantumquantum it,angular  momentumnumber,used
2094,n = 2,=,=
2095,,general quantum orbital,number
2096,l value,shape,specifies
2097,the quantum greater,angular  orbital,is
2098,different quantum it,high electron 0,is
2099,electron,orbital,called
2100,1 l corresponds,high electron 1,describes
2101,electron,orbital,called
2102,high electron that,dumbbell l 2,called
2103,electron,l electron 3,called
2104,higher l we,l =,called
2105,spherical  region,high electron 0,describes
2106,electron,high electron 1,called
2107,high electron that,dumbbell l 2,called
2108,electron,l electron 3,called
2109,particular electron densitya it,absolute wave function,is equal
2110,Magnetic Quantum electron,subshell,indicates
2111,absolute electron density distribution,diagrambelow,is spherical
2112,,one s which,is
2113,one s which,one s ml,is
2114,ofelectron  density,2  electrons,hold
2115,maximum electron number,electronsfor s subshell,is
2116,shape,center z diagram,is
2117,,three dumbbell shapedregions,reside in
2118,possible values which,Therefore p subshell,are
2119,,6 p psubshell,occupy
2120,exact electron you,five regionsof electron subshell,is
2121,five d subshell,10electrons,thereare
2122,shapes,even f subshell,are
2123,however  you,electron density,recognize
2124,possible f which,possible f subshell,are
2125,14  electrons,ofelectron f subshell,occupy
2126,,Commons Attribution 4.0License,Adapted from
2127,,,Download for free
2128,following  procedure,molecular electron pair CO2,uses
2129,two  regions,lone carbon atom,write
2130,two  regions,central bond 180,predict
2131,molecular CO2 molecules,,are identical
2132,,molecular electron pair BCl3,Predict
2133,BCl3,lone  boron,write
2134,arrangement,planar electron pair geometry,gives
2135,BCl  bonds,120  them,lie in
2136,BCl3,molecular  structure,has
2137,,molecular water molecule,Predict
2138,four  regions,tetrahedral  fashion,indicates
2139,molecular  structure,slightly  109.5,is tetrahedral
2140,bond angle,fact,is
2141,,molecular electron pair SF4,Predict
2142,five  regions,bipyramidal electron pair geometry,predict
2143,one lone pair,molecular  geometry,occupy
2144,molecular  structure,completely  molecule,describes
2145,interior  each,clocald geometry,have
2146,such  considerations,introductory  discussion,influences
2147,we,local  structures,focus on
2148,Lewis structure,simplest amino acid,shown
2149,two carbon atoms,central hydrogen atom,Consider
2150,local  We,local Lewis molecule,use
2151,,Creative Commons Attribution,Adapted from
2152,,,Download for free
2153,that,one  another,called
2154,physical propertyA that,chemical  composition,characteristic of
2155,that,chemical  composition,is
2156,Familiar  examples,physical  density,include
2157,We,physical  matter,observe
2158,physical  properties,physical matter change,observed as
2159,,chemical changeA composition,change in
2160,,chemical  matter,is
2161,We,liquid steam water,observe
2162,theft security which,noticeable  color,include
2163,,chemical  composition,is
2164,that,chemical  composition,characteristic of
2165,,chemical  composition,change in
2166,change,one  type,is
2167,Examples,many chemical combustion,include
2168,chromium,rust,oxidize
2169,almost  it,almost  hazard,poses
2170,,one  type,change of
2171,chemical we,chemical  change,look for
2172,one  that,present  change,change in
2173,one  that,present  change,produces
2174,present  rust,different  iron,is
2175,chemical  gases,original  substance,is
2176,nitric  food,nitric  combustion,include
2177,one  that,present  change,change in
2178,,4.0 Creative Commons License,Adapted from
2179,,,Download for free
2180,number,is  gas,established
2181,real gasa gases,certain  conditions,were able
2182,equationthe  gaslawthat,quite gas lowpressures,combined into
2183,We,ideal gas law,consider
2184,,then pressure container,Imagine
2185,gas,,gets colder
2186,volume,gas,remain constant
2187,sphere  gas,,gets hotter
2188,relationship,constant temperature volume,observed for
2189,Anexample,experimental pressure temperature figure,shown for
2190,when  volume,same gas pressure factor,find
2191,toempirically Louis Gay Lussac,relationship,was
2192,when kelvin volume,directly kelvin temperature,is
2193,when onthe kelvin volume,directly onthe kelvin scale,states
2194,360  can,350  mL.,is
2195,new  pressure,can,left
2196,First  's,theproblem,let
2197,,,increase
2198,temperature,pressure,increase
2199,constant temperature we,Gay Lussacslaw,use
2200,,theproblem,Identify
2201,,,P
2202,Next  we,kelvin,need
2203,,,P
2204,increase,inthe  pressure,matches
2205,,4.0 Creative Commons License,Adapted from
2206,,,Download for free
2207,adequately  objects,adequately  waves,is
2208,objects energy distribution,single  parameter,measured by
2209,eventually  intensities,high  temperatures,shift to shorter
2210,classical  we,classical  that,was
2211,19th century scientists,mathematical energy distributions,derived
2212,longer blackbody wavelength,large  zero,fit
2213,theoretical  that,short wavelength behavior,became
2214,theoretical  that,experimental  observations,derived
2215,vibrational  energies,discrete  frequency,proposed
2216,energy,,quantized
2217,,,"E\\;=\\;nh\u\\;,\\;\\;\\;\\;\\;\\;\\;n\\;=\\;1,\\;2,\\;3,\\"
2218,quantity h,now  honor,is
2219,why energy quantization,macroscopic  phenomena,notice
2220,next  paradox,classical  theory,resolved concerned
2221,electrons,when threshold it,observed
2222,there incident light,frequency  electrons,needed
2223,This,animation,illustrated in
2224,which,amplitude,depends on
2225,electrons,light threshold changes,change
2226,This,below  animation,illustrated by
2227,doesn\'t  threshold,given time period,met
2228,electric  current,increasing  light,increases with
2229,This,two  animations,shown in
2230,kinetic threshold energy,also  light,depend
2231,However  frequency,kinetic  electrons,increases
2232,This,graph,shown in
2233,Different  metals,different threshold frequencies,have different
2234,previous  wavelength,frequency sodium,is
2235,,threshold calcium,is
2236,actually Nobel he,actually Nobel which,won
2237,later metal energy,c  \xce\xbb\xce\xbd,argued
2238,Electrons,greater  threshold,ejected
2239,light  intensity,given time period,argued
2240,greater  they,electrons,explains
2241,nature,new  mystery,took
2242,phenomena,photoelectric  particle,explained by
2243,fully  light,fundamental  level,is
2244,This,wave particle duality,known as
2245,neon we,excited neon atoms,observing
2246,640  energy,photon,is
2247,that,4.0 Creative Commons License,use
2248,,,Download for free
2249,counting process,objects,is
2250,result,exact counting number,is
2251,many  carton,many  eggs,know
2252,numbers,defined  quantities,are
2253,1  gram,definition,is
2254,Quantities,practical measurement process,are uncertain
2255,numbers,directly  quantities,are
2256,graduated  you,curved  liquid,make
2257,,Figure,Refer to
2258,liquid  volume,21  mL,lies between
2259,reasonable mL estimate,liquids volume,appears
2260,2  6,number,are certain
2261,it,22 mL digit,estimate
2262,tenths place digit,hundredths place,Note
2263,,smallest scale division,permit
2264,so mL volumes,0.1  mL.,has
2265,even  you,actively  estimate,holds true
2266,mass,6.71  grams,are certain
2267,quarter,0.01  gram,weighs
2268,mass,0.001  gram,means
2269,which,device,has
2270,All,last  digit,called significant
2271,nearest  it,1  2,are
2272,that,measurement,are significant
2273,that,place holders,is
2274,,example,look at
2275,you,flask,Say
2276,volume,300,say with
2277,estimated  digit,tens  place,be in
2278,2,tens  place,say
2279,certain hundreds 2,place,is
2280,However  you,22  ml,record
2281,You,220 place ml,add
2282,certain  it,measurement,is
2283,Here  we,measurement,look at
2284,nonzero digits,,are
2285,zeros,,are
2286,We,how d them,use
2287,,remaining nonzero right,count
2288,decimal  point,trailing  left,is
2289,Captive  zeros,measurement,result from
2290,decimal  point,merely  us,tell
2291,leading  zeros,example,are
2292,8.32407  all,decimal  point,contains
2293,significant  that,decimal point location,is uncertain
2294,decimal  point,measurement,be significant
2295,significant ones place,exponential  notation,resolved with
2296,trailing  zeros,cases,is prudent
2297,,4.0 Creative Commons License,Adapted from
2298,,,Download for free
2299,90  %,made  solids,are crystalline
2300,when  particles,efficient  manner,form with
2301,regular  arrangement,macroscopic  level,reflected at
2302,how crystalline structures,metallic crystalline solids,explore
2303,relatively  each,one  atom,begin
2304,pure  metal,repeating metal pattern,is
2305,identical  atoms,regular  pattern,are
2306,different  properties,spatial  arrangements,depend on
2307,common metal crystal that,common metal crystal sections,explore
2308,repeating  which,unit cell,structure of
2309,lattice that,atoms,consists of
2310,then unit cell,three  figure,consists of
